,game_id,date,title,price,score,playtime_forever,playtime_2weeks,downloads,popular_genres,common_genres,unpopular_genres,price_discr
0,227380.0,1983-06-19,Dragon's Lair,9.99,,3582.0,0.0,103.0,Adventure Action Casual,Arcade Classic Retro Difficult Short,FMV Quick-Time Events 1980s Cartoon,1
1,240340.0,1984-04-29,Space Ace,9.99,,384.0,0.0,18.0,Adventure Casual Action,Classic,Quick-Time Events FMV,1
2,517930.0,1984-11-01,The Castles of Dr. Creep,1.99,,,,,Casual Indie,Puzzle-Platformer Retro Puzzle Medieval,,0
3,329660.0,1985-01-01,Silent Service,6.99,,,,,Simulation,Classic,,1
4,664780.0,1986-05-01,Alter Ego,7.99,,,,,RPG Casual Indie Adventure Simulation,Text-Based,,1
5,327380.0,1987-01-01,Sid Meier's Pirates! Gold Plus (Classic),6.99,,235.0,0.0,73.0,Adventure Simulation,Classic,Pirates,1
6,374080.0,1987-01-01,Falcon,6.99,,0.0,0.0,16.0,Simulation,Retro,,1
7,494740.0,1987-09-07,Police Quest™ Collection,9.99,,7481.0,1627.0,136.0,Adventure,Classic Pixel Graphics Point & Click Detective Retro 1990's,1980s,1
8,529890.0,1987-10-05,Maniac Mansion,5.99,,,,,Adventure,Pixel Graphics Point & Click Classic,,1
9,286790.0,1988-01-01,Falcon A.T.,6.99,,0.0,0.0,15.0,Simulation,Flight,,1
10,347250.0,1988-01-01,F-19 Stealth Fighter,6.99,,1.0,0.0,22.0,Simulation,Flight Classic,,1
11,259130.0,1988-05-01,Wasteland 1 - The Original Classic,5.99,,13998.0,1.0,1044.0,RPG Adventure Strategy Indie Singleplayer Action,Post-apocalyptic Classic Turn-Based Retro Sci-fi 2D Pixel Graphics Great Soundtrack,CRPG,1
12,622830.0,1988-06-01,Battle Chess,9.99,,,,,Strategy,,Chess,1
13,308000.0,1988-12-23,Gold Rush! Classic,5.99,,16243.0,0.0,221.0,Adventure Action,Classic Pixel Graphics Historical Third Person Difficult,America 1980s,1
14,569200.0,1989-01-01,Space Rogue Classic,5.99,,,,,Action RPG Simulation,Classic,,1
15,327950.0,1989-01-01,Sword of the Samurai,6.99,1.46,5084.0,9.0,54.0,Adventure Simulation Strategy,Retro Classic,,1
16,410550.0,1989-01-01,Tank: M1A1 Abrams Battle Simulation,6.99,,0.0,0.0,12.0,Simulation,,,1
17,302330.0,1989-01-01,Tex Murphy: Mean Streets,5.99,,607.0,0.0,72.0,Adventure Action,Detective Mystery Cyberpunk Classic Post-apocalyptic Flight Pixel Graphics Atmospheric Open World Story Rich,Noir 1980s Dystopian,1
18,517030.0,1989-01-01,The Adventures of Super Mario Bros. 3,1.99,,,,,,Memes Anime Family Friendly Episodic Fantasy Psychological Horror Action-Adventure Sexual Content Nudity Illuminati Story Rich Horror Gore Classic,Cartoon,0
19,713290.0,1989-04-05,Ranma 1/2 OVA and Movie Collection,2.99,,,,,,Episodic,,1
20,32310.0,1989-07-01,Indiana Jones® and the Last Crusade™,5.99,,3600.0,0.0,138.0,Adventure,Point & Click Classic Pixel Graphics Difficult Third Person Retro,1980s,1
21,570580.0,1989-07-14,Zork Anthology,5.99,,,,,Adventure,Text-Based Classic,,1
22,502750.0,1989-10-01,Quest for Glory 1-5,9.99,,33.0,7.0,84.0,Adventure RPG,1990's Classic Fantasy Pixel Graphics Point & Click 2D,1980s,1
23,327390.0,1990-01-01,Sid Meier's Covert Action (Classic),6.99,,1043.0,33.0,72.0,Simulation Adventure,Classic Pixel Graphics,,1
24,32340.0,1990-01-01,LOOM™,5.99,2.0,4349.0,0.0,146.0,Adventure Singleplayer,Point & Click Classic Fantasy Puzzle Music Pixel Graphics Atmospheric 1990's Short Third Person Retro,,1
25,347270.0,1990-01-01,Knights of the Sky,6.99,,5.0,0.0,23.0,Action Simulation,,World War I,1
26,358240.0,1990-01-01,Monuments of Mars,0.0,,64.0,0.0,166.0,Action Adventure,Platformer 1990's,,
27,624070.0,1990-01-01,Dragon Wars,9.99,,,,,RPG Adventure,,,1
28,329670.0,1990-01-01,Silent Service 2,6.99,,17.0,0.0,42.0,Simulation,Classic Retro,Naval,1
29,329630.0,1990-01-01,Command HQ,6.99,,60.0,23.0,59.0,Strategy,Retro 1990's,,1
30,358330.0,1990-12-14,Pharaoh's Tomb,0.0,,82.0,0.0,167.0,Adventure,Platformer Retro,,
31,9180.0,1990-12-14,Commander Keen,4.99,2.0,18718.0,41.0,848.0,Action Singleplayer,Platformer Classic 2D Retro 1990's Sci-fi Family Friendly,,1
32,263940.0,1990-12-19,Red Baron Pack,9.99,,861.0,0.0,14.0,Simulation,Flight,World War I,1
33,678620.0,1991-01-01,Battle Chess II: Chinese Chess,9.99,,,,,Strategy,,,1
34,347260.0,1991-01-01,Hyperspeed,6.99,,0.0,0.0,15.0,Strategy Adventure RPG Simulation,,,1
35,302340.0,1991-01-01,Tex Murphy: Martian Memorandum,5.99,,166.0,0.0,89.0,Adventure,Point & Click Detective Classic 1990's Pixel Graphics Cyberpunk Post-apocalyptic Mystery Atmospheric Third Person,FMV Noir Dystopian,1
36,745870.0,1991-01-01,Prehistorik,9.99,,,,,Adventure RPG,,,1
37,666660.0,1991-01-02,Castles,9.99,,,,,Adventure Strategy,,,1
38,328920.0,1991-01-02,F-117A Nighthawk Stealth Fighter 2.0,6.99,,144.0,0.0,52.0,Simulation,Flight Classic Stealth,,1
39,358440.0,1991-02-01,Dark Ages,0.0,,213.0,0.0,165.0,Action,Platformer Retro,,
40,240360.0,1991-06-16,Dragon's Lair 2: Time Warp,9.99,,1355.0,0.0,15.0,Adventure Casual Action,Classic,FMV Quick-Time Events,1
41,719290.0,1991-07-01,Prophecy I - The Viking Child,4.99,,,,,Action Adventure,,,1
42,358230.0,1991-10-01,Paganitzu,4.99,,115.0,0.0,175.0,Action Adventure,Puzzle 1990's,,1
43,358170.0,1991-10-09,Arctic Adventure,0.0,,86.0,0.0,165.0,Adventure Action,Platformer Retro,,
44,358260.0,1991-10-23,Crystal Caves,4.99,2.0,733.0,0.0,177.0,Action,Classic Platformer 1990's,,1
45,327930.0,1992-01-01,Darklands,6.99,,2164.0,0.0,63.0,RPG Adventure Singleplayer,Classic Medieval Open World Sandbox Historical Retro Pixel Graphics 1990's,,1
